,GOterms,scores,scores_adj,k,M
12026,GO:0030128,1.4279205115558566e-06,0.0312636056402597,2,8
12020,GO:0030122,1.0710486059204063e-06,0.0312636056402597,2,7
12030,GO:0030132,4.637928630312959e-06,0.05449119010589437,2,14
12029,GO:0030131,7.794684174576399e-06,0.05449119010589437,2,18
35770,GO:0140312,8.710825338355766e-06,0.05449119010589437,2,19
17360,GO:0036020,8.710825338355766e-06,0.05449119010589437,2,19
16992,GO:0035615,7.794684174576399e-06,0.05449119010589437,2,18
12023,GO:0030125,1.527288371456607e-05,0.0835980381221417,2,25
30844,GO:0072583,2.2134489636385092e-05,0.0881133787897879,2,30
12017,GO:0030119,2.2134489636385092e-05,0.0881133787897879,2,30
17359,GO:0036019,1.9237997891029085e-05,0.0881133787897879,2,28
32865,GO:0097718,3.0260608661159653e-05,0.10680581790811616,2,35
12033,GO:0030135,3.170832019012789e-05,0.10680581790811616,3,294
12016,GO:0030118,3.767066020420317e-05,0.11782575283441804,2,39
12018,GO:0030120,6.732207574618578e-05,0.1965310916566486,2,52
22152,GO:0046907,9.039820349579626e-05,0.2474029333048389,4,1310
12156,GO:0030276,0.00011890358305019083,0.29773688337560605,2,69
3880,GO:0005905,0.00012238836010781037,0.29773688337560605,2,70
12442,GO:0030669,0.00012950779815350532,0.29847457754441287,2,72
23582,GO:0048475,0.00017641475164060892,0.36785835998050587,2,84
