,GOterms,scores,scores_adj,k,M
13692,GO:0031462,6.9137609651173485e-12,3.1080812418685037e-07,4,11
13170,GO:0030891,1.3616275583334853e-09,3.0605983442440916e-05,3,6
111,GO:0000153,1.9439810008106892e-08,0.00029130555297148176,3,13
29449,GO:0061418,2.9475846177670815e-08,0.00033127166622929787,4,78
20418,GO:0043618,1.2744559760018982e-07,0.0011458633680233067,4,112
20420,GO:0043620,1.5727194539619118e-07,0.0011783600508809625,4,118
13691,GO:0031461,8.002275314272736e-07,0.005026378669964727,4,177
31400,GO:0071456,8.944729031190705e-07,0.005026378669964727,4,182
18329,GO:0036294,1.0400106090728671e-06,0.005194852992318971,4,189
31397,GO:0071453,1.4383306066556483e-06,0.006466015242220467,4,205
13696,GO:0031466,3.977484686669277e-06,0.016255256735383396,2,7
9527,GO:0016567,7.112197732472824e-06,0.022837774933093986,5,711
30403,GO:0070449,6.815279157818117e-06,0.022837774933093986,2,9
109,GO:0000151,6.443307014462409e-06,0.022837774933093986,4,299
999,GO:0001666,9.631649711468456e-06,0.028866054185270964,4,331
18328,GO:0036293,1.0584078051284798e-05,0.029737951799719255,4,339
14621,GO:0032446,1.2266186789621172e-05,0.0324368486545541,5,795
30436,GO:0070482,1.3862020115294533e-05,0.0346203952379481,4,363
3478,GO:0004842,3.0063384398763227e-05,0.06459964341197426,4,442
20486,GO:0043687,2.9271025192691217e-05,0.06459964341197426,4,439
